date,rank,song,artist,last-week,peak-rank,weeks-on-board,song_clean,artist_clean
2021-11-06,60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,54.0,26,17,cold beer calling my name,jameson rodgers featuring luke combs
2021-11-06,61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",0.0,61,1,not in the mood,lil tjay fivio foreign and kay flock
2021-11-06,62,Pissed Me Off,Lil Durk,39.0,39,2,pissed me off,lil durk
2021-11-06,63,Woman,Doja Cat,65.0,62,13,woman,doja cat
2021-11-06,64,Sand In My Boots,Morgan Wallen,74.0,32,15,sand in my boots,morgan wallen
2021-11-06,65,'Til You Can't,Cody Johnson,76.0,65,3,'til you can't,cody johnson
2021-11-06,66,Love Again,Dua Lipa,61.0,41,15,love again,dua lipa
2021-11-06,67,Whiskey And Rain,Michael Ray,81.0,67,4,whiskey and rain,michael ray
2021-11-06,68,One Mississippi,Kane Brown,80.0,68,5,one mississippi,kane brown
2021-11-06,69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,0.0,69,1,switches and dracs,moneybagg yo featuring lil durk and est gee
2021-11-06,70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,77.0,69,4,jugaste y sufri,eslabon armado featuring dannylux
2021-11-06,71,Too Easy,Gunna & Future,71.0,38,5,too easy,gunna and future
2021-11-06,72,Esta Danada,Ivan Cornejo,66.0,61,4,esta danada,ivan cornejo
2021-11-06,73,Volvi,Aventura x Bad Bunny,75.0,22,13,volvi,aventura x bad bunny
2021-11-06,74,Tequila Little Time,Jon Pardi,83.0,74,3,tequila little time,jon pardi
2021-11-06,75,Whole Lotta Money,BIA Featuring Nicki Minaj,70.0,16,16,whole lotta money,bia featuring nicki minaj
2021-11-06,76,2055,Sleepy Hallow,72.0,51,15,2055,sleepy hallow
2021-11-06,77,Maybach,42 Dugg Featuring Future,85.0,68,5,maybach,42 dugg featuring future
2021-11-06,78,WFM,Realestk,67.0,67,3,wfm,realestk
2021-11-06,79,Poke It Out,Wale Featuring J. Cole,0.0,79,1,poke it out,wale featuring j cole
2021-11-06,80,Praise God,Kanye West,89.0,20,5,praise god,kanye west
2021-11-06,81,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",73.0,51,3,lo siento bb,tainy bad bunny and julieta venegas
2021-11-06,82,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84.0,82,3,freedom was a highway,jimmie allen and brad paisley
2021-11-06,83,For Tonight,Giveon,88.0,83,4,for tonight,giveon
2021-11-06,84,Thot Shit,Megan Thee Stallion,82.0,16,20,thot shit,megan thee stallion
2021-11-06,85,Like A Lady,Lady A,99.0,85,3,like a lady,lady a
2021-11-06,86,Get Into It (Yuh),Doja Cat,86.0,68,12,get into it,doja cat
2021-11-06,87,Scorpio,Moneybagg Yo,0.0,87,1,scorpio,moneybagg yo
2021-11-06,88,Big Energy,Latto,0.0,88,1,big energy,latto
2021-11-06,89,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,0.0,89,1,half of my hometown,kelsea ballerini featuring kenny chesney
2021-11-06,90,Money,Lisa,0.0,90,1,money,lisa
2021-11-06,91,No Friends In The Industry,Drake,87.0,11,8,no friends in the industry,drake
2021-11-06,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92.0,92,2,ya superame,grupo firme
2021-11-06,93,Who's In Your Head,Jonas Brothers,96.0,93,3,who's in your head,jonas brothers
2021-11-06,94,In The Bible,Drake Featuring Lil Durk & Giveon,94.0,7,8,in the bible,drake featuring lil durk and giveon
2021-11-06,95,Just About Over You,Priscilla Block,100.0,95,3,just about over you,priscilla block
2021-11-06,96,To Be Loved By You,Parker McCollum,0.0,96,1,to be loved by you,parker mccollum
2021-11-06,97,Ain't Shit,Doja Cat,0.0,24,14,ain't shit,doja cat
2021-11-06,98,Life Goes On,Oliver Tree,0.0,91,2,life goes on,oliver tree
2021-11-06,99,Come Through,H.E.R. Featuring Chris Brown,0.0,64,16,come through,h e r featuring chris brown
2021-11-06,100,Nevada,YoungBoy Never Broke Again,0.0,58,4,nevada,youngboy never broke again
2021-10-30,1,Easy On Me,Adele,68.0,1,2,easy on me,adele
2021-10-30,2,Stay,The Kid LAROI & Justin Bieber,2.0,1,15,stay,the kid laroi and justin bieber
2021-10-30,3,Industry Baby,Lil Nas X & Jack Harlow,1.0,1,13,industry baby,lil nas x and jack harlow
2021-10-30,4,Fancy Like,Walker Hayes,3.0,3,18,fancy like,walker hayes
2021-10-30,5,Bad Habits,Ed Sheeran,4.0,2,17,bad habits,ed sheeran
2021-10-30,6,Way 2 Sexy,Drake Featuring Future & Young Thug,5.0,1,7,way 2 sexy,drake featuring future and young thug
2021-10-30,7,Good 4 U,Olivia Rodrigo,6.0,1,23,good 4 u,olivia rodrigo
2021-10-30,8,Levitating,Dua Lipa,8.0,2,55,levitating,dua lipa
2021-10-30,9,Shivers,Ed Sheeran,10.0,9,6,shivers,ed sheeran
2021-10-30,10,Kiss Me More,Doja Cat Featuring SZA,7.0,3,28,kiss me more,doja cat featuring sza
2021-10-30,11,Need To Know,Doja Cat,11.0,11,19,need to know,doja cat
2021-10-30,12,Essence,Wizkid Featuring Justin Bieber & Tems,9.0,9,16,essence,wizkid featuring justin bieber and tems
2021-10-30,13,My Universe,Coldplay x BTS,18.0,1,4,my universe,coldplay x bts
2021-10-30,14,Heat Waves,Glass Animals,12.0,12,40,heat waves,glass animals
2021-10-30,15,Beggin',Maneskin,15.0,15,17,beggin',maneskin
2021-10-30,16,You Right,Doja Cat & The Weeknd,16.0,11,17,you right,doja cat and the weeknd
2021-10-30,17,Save Your Tears,The Weeknd & Ariana Grande,13.0,1,45,save your tears,the weeknd and ariana grande
2021-10-30,18,Knife Talk,Drake Featuring 21 Savage & Project Pat,14.0,4,7,knife talk,drake featuring 21 savage and project pat
2021-10-30,19,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",17.0,17,2,who want smoke,nardo wick featuring g herbo lil durk and 21 savage
2021-10-30,20,Bubbly,Young Thug With Drake & Travis Scott,0.0,20,1,bubbly,young thug with drake and travis scott
2021-10-30,21,Cold Heart (PNAU Remix),Elton John & Dua Lipa,25.0,21,7,cold heart,elton john and dua lipa
2021-10-30,22,Traitor,Olivia Rodrigo,21.0,9,22,traitor,olivia rodrigo
2021-10-30,23,If I Didn't Love You,Jason Aldean & Carrie Underwood,19.0,15,13,if i didn't love you,jason aldean and carrie underwood
2021-10-30,24,Montero (Call Me By Your Name),Lil Nas X,20.0,1,30,montero,lil nas x
2021-10-30,25,Chasing After You,Ryan Hurd With Maren Morris,23.0,23,25,chasing after you,ryan hurd with maren morris
2021-10-30,26,Girls Want Girls,Drake Featuring Lil Baby,22.0,2,7,girls want girls,drake featuring lil baby
2021-10-30,27,Take My Breath,The Weeknd,24.0,6,11,take my breath,the weeknd
2021-10-30,28,Thats What I Want,Lil Nas X,26.0,10,5,thats what i want,lil nas x
2021-10-30,29,Pepas,Farruko,27.0,25,13,pepas,farruko
2021-10-30,30,Happier Than Ever,Billie Eilish,30.0,11,12,happier than ever,billie eilish
2021-10-30,31,Love Nwantiti (Ah Ah Ah),CKay,31.0,31,5,love nwantiti,ckay
2021-10-30,32,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,44.0,32,6,meet me at our spot,the anxiety willow and tyler cole
2021-10-30,33,Wockesha,Moneybagg Yo,29.0,20,26,wockesha,moneybagg yo
2021-10-30,34,Buy Dirt,Jordan Davis Featuring Luke Bryan,40.0,34,11,buy dirt,jordan davis featuring luke bryan
2021-10-30,35,Memory I Don't Mess With,Lee Brice,35.0,33,13,memory i don't mess with,lee brice
2021-10-30,36,A-O-K,Tai Verdes,34.0,34,16,a-o-k,tai verdes
2021-10-30,37,My Boy,Elvie Shane,28.0,28,17,my boy,elvie shane
2021-10-30,38,Ghost,Justin Bieber,32.0,32,4,ghost,justin bieber
2021-10-30,39,Pissed Me Off,Lil Durk,0.0,39,1,pissed me off,lil durk
2021-10-30,40,You Should Probably Leave,Chris Stapleton,43.0,40,16,you should probably leave,chris stapleton
2021-10-30,41,Cold As You,Luke Combs,45.0,41,12,cold as you,luke combs
2021-10-30,42,I Was On A Boat That Day,Old Dominion,37.0,37,16,i was on a boat that day,old dominion
2021-10-30,43,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,36.0,22,8,sharing locations,meek mill featuring lil baby and lil durk
2021-10-30,44,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),38.0,1,33,leave the door open,silk sonic
2021-10-30,45,Lets Go Brandon,Loza Alexander,0.0,45,1,lets go brandon,loza alexander
2021-10-30,46,Gyalis,Capella Grey,46.0,38,12,gyalis,capella grey
2021-10-30,47,Wild Side,Normani Featuring Cardi B,52.0,14,14,wild side,normani featuring cardi b
2021-10-30,48,Fair Trade,Drake Featuring Travis Scott,39.0,3,7,fair trade,drake featuring travis scott
2021-10-30,49,Leave Before You Love Me,Marshmello X Jonas Brothers,48.0,19,22,leave before you love me,marshmello x jonas brothers
2021-10-30,50,Deja Vu,Olivia Rodrigo,42.0,3,29,deja vu,olivia rodrigo
2021-10-30,51,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,55.0,51,10,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
2021-10-30,52,Family Ties,Baby Keem & Kendrick Lamar,49.0,18,8,family ties,baby keem and kendrick lamar
2021-10-30,53,Have Mercy,Chloe,54.0,28,6,have mercy,chloe
2021-10-30,54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,33.0,26,16,cold beer calling my name,jameson rodgers featuring luke combs
2021-10-30,55,Same Boat,Zac Brown Band,64.0,55,5,same boat,zac brown band
2021-10-30,56,Ex For A Reason,Summer Walker & JT,0.0,56,1,ex for a reason,summer walker and jt
2021-10-30,57,Better Days,NEIKED X Mae Muller X Polo G,0.0,57,1,better days,neiked x mae muller x polo g
2021-10-30,58,Hurricane,Kanye West,50.0,6,8,hurricane,kanye west
2021-10-30,59,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56.0,56,12,baddest,yung bleu chris brown and 2 chainz
2021-10-30,60,Late At Night,Roddy Ricch,57.0,20,20,late at night,roddy ricch
2021-10-30,61,Love Again,Dua Lipa,47.0,41,14,love again,dua lipa
2021-10-30,62,Memory,Kane Brown X blackbear,60.0,50,15,memory,kane brown x blackbear
2021-10-30,63,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,65.0,63,4,chosen,blxst and tyga featuring ty dolla ign
2021-10-30,64,Knowing You,Kenny Chesney,62.0,62,10,knowing you,kenny chesney
2021-10-30,65,Woman,Doja Cat,63.0,62,12,woman,doja cat
2021-10-30,66,Esta Danada,Ivan Cornejo,61.0,61,3,esta danada,ivan cornejo
2021-10-30,67,WFM,Realestk,75.0,67,2,wfm,realestk
2021-10-30,68,Livin It Up,Young Thug With Post Malone & A$AP Rocky,0.0,68,1,livin it up,young thug with post malone and a ap rocky
2021-10-30,69,Stressed,Young Thug With J. Cole & T-Shyne,0.0,69,1,stressed,young thug with j cole and t-shyne
2021-10-30,70,Whole Lotta Money,BIA Featuring Nicki Minaj,59.0,16,15,whole lotta money,bia featuring nicki minaj
2021-10-30,71,Too Easy,Gunna & Future,66.0,38,4,too easy,gunna and future
2021-10-30,72,2055,Sleepy Hallow,58.0,51,14,2055,sleepy hallow
2021-10-30,73,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",51.0,51,2,lo siento bb,tainy bad bunny and julieta venegas
2021-10-30,74,Sand In My Boots,Morgan Wallen,72.0,32,14,sand in my boots,morgan wallen
2021-10-30,75,Volvi,Aventura x Bad Bunny,67.0,22,12,volvi,aventura x bad bunny
2021-10-30,76,'Til You Can't,Cody Johnson,94.0,76,2,'til you can't,cody johnson
2021-10-30,77,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69.0,69,3,jugaste y sufri,eslabon armado featuring dannylux
2021-10-30,78,Rich N***a Shit,Young Thug With Juice WRLD,0.0,78,1,rich n a shit,young thug with juice wrld
2021-10-30,79,Yonaguni,Bad Bunny,76.0,10,20,yonaguni,bad bunny
2021-10-30,80,One Mississippi,Kane Brown,78.0,73,4,one mississippi,kane brown
2021-10-30,81,Whiskey And Rain,Michael Ray,82.0,81,3,whiskey and rain,michael ray
2021-10-30,82,Thot Shit,Megan Thee Stallion,71.0,16,19,thot shit,megan thee stallion
2021-10-30,83,Tequila Little Time,Jon Pardi,86.0,83,2,tequila little time,jon pardi
2021-10-30,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,88.0,84,2,freedom was a highway,jimmie allen and brad paisley
2021-10-30,85,Maybach,42 Dugg Featuring Future,85.0,68,4,maybach,42 dugg featuring future
2021-10-30,86,Get Into It (Yuh),Doja Cat,79.0,68,11,get into it,doja cat
2021-10-30,87,No Friends In The Industry,Drake,74.0,11,7,no friends in the industry,drake
2021-10-30,88,For Tonight,Giveon,98.0,88,3,for tonight,giveon
2021-10-30,89,Praise God,Kanye West,99.0,20,4,praise god,kanye west
2021-10-30,90,Champagne Poetry,Drake,77.0,4,7,champagne poetry,drake
2021-10-30,91,Let Somebody Go,Coldplay X Selena Gomez,0.0,91,1,let somebody go,coldplay x selena gomez
2021-10-30,92,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,0.0,92,1,ya superame,grupo firme
2021-10-30,93,You Time,Scotty McCreery,80.0,50,12,you time,scotty mccreery
2021-10-30,94,In The Bible,Drake Featuring Lil Durk & Giveon,83.0,7,7,in the bible,drake featuring lil durk and giveon
2021-10-30,95,Peepin Out The Window,Young Thug With Future & BSlime,0.0,95,1,peepin out the window,young thug with future and bslime
2021-10-30,96,Who's In Your Head,Jonas Brothers,95.0,95,2,who's in your head,jonas brothers
2021-10-30,97,Woo Baby,Pop Smoke Featuring Chris Brown,92.0,64,3,woo baby,pop smoke featuring chris brown
2021-10-30,98,Flocky Flocky,Don Toliver Featuring Travis Scott,53.0,53,2,flocky flocky,don toliver featuring travis scott
2021-10-30,99,Like A Lady,Lady A,90.0,90,2,like a lady,lady a
2021-10-30,100,Just About Over You,Priscilla Block,97.0,97,2,just about over you,priscilla block
2021-10-23,1,Industry Baby,Lil Nas X & Jack Harlow,2.0,1,12,industry baby,lil nas x and jack harlow
2021-10-23,2,Stay,The Kid LAROI & Justin Bieber,1.0,1,14,stay,the kid laroi and justin bieber
2021-10-23,3,Fancy Like,Walker Hayes,3.0,3,17,fancy like,walker hayes
2021-10-23,4,Bad Habits,Ed Sheeran,5.0,2,16,bad habits,ed sheeran
2021-10-23,5,Way 2 Sexy,Drake Featuring Future & Young Thug,4.0,1,6,way 2 sexy,drake featuring future and young thug
2021-10-23,6,Good 4 U,Olivia Rodrigo,6.0,1,22,good 4 u,olivia rodrigo
2021-10-23,7,Kiss Me More,Doja Cat Featuring SZA,7.0,3,27,kiss me more,doja cat featuring sza
2021-10-23,8,Levitating,Dua Lipa,8.0,2,54,levitating,dua lipa
2021-10-23,9,Essence,Wizkid Featuring Justin Bieber & Tems,10.0,9,15,essence,wizkid featuring justin bieber and tems
2021-10-23,10,Shivers,Ed Sheeran,11.0,10,5,shivers,ed sheeran
2021-10-23,11,Need To Know,Doja Cat,13.0,11,18,need to know,doja cat
2021-10-23,12,Heat Waves,Glass Animals,15.0,12,39,heat waves,glass animals
2021-10-23,13,Save Your Tears,The Weeknd & Ariana Grande,14.0,1,44,save your tears,the weeknd and ariana grande
2021-10-23,14,Knife Talk,Drake Featuring 21 Savage & Project Pat,9.0,4,6,knife talk,drake featuring 21 savage and project pat
2021-10-23,15,Beggin',Maneskin,16.0,15,16,beggin',maneskin
2021-10-23,16,You Right,Doja Cat & The Weeknd,18.0,11,16,you right,doja cat and the weeknd
2021-10-23,17,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",0.0,17,1,who want smoke,nardo wick featuring g herbo lil durk and 21 savage
2021-10-23,18,My Universe,Coldplay x BTS,12.0,1,3,my universe,coldplay x bts
2021-10-23,19,If I Didn't Love You,Jason Aldean & Carrie Underwood,19.0,15,12,if i didn't love you,jason aldean and carrie underwood
2021-10-23,20,Montero (Call Me By Your Name),Lil Nas X,17.0,1,29,montero,lil nas x
2021-10-23,21,Traitor,Olivia Rodrigo,21.0,9,21,traitor,olivia rodrigo
2021-10-23,22,Girls Want Girls,Drake Featuring Lil Baby,20.0,2,6,girls want girls,drake featuring lil baby
2021-10-23,23,Chasing After You,Ryan Hurd With Maren Morris,24.0,23,24,chasing after you,ryan hurd with maren morris
2021-10-23,24,Take My Breath,The Weeknd,22.0,6,10,take my breath,the weeknd
2021-10-23,25,Cold Heart (PNAU Remix),Elton John & Dua Lipa,32.0,25,6,cold heart,elton john and dua lipa
2021-10-23,26,Thats What I Want,Lil Nas X,26.0,10,4,thats what i want,lil nas x
2021-10-23,27,Pepas,Farruko,25.0,25,12,pepas,farruko
2021-10-23,28,My Boy,Elvie Shane,42.0,28,16,my boy,elvie shane
2021-10-23,29,Wockesha,Moneybagg Yo,27.0,20,25,wockesha,moneybagg yo
2021-10-23,30,Happier Than Ever,Billie Eilish,29.0,11,11,happier than ever,billie eilish
2021-10-23,31,Love Nwantiti (Ah Ah Ah),CKay,35.0,31,4,love nwantiti,ckay
2021-10-23,32,Ghost,Justin Bieber,93.0,32,3,ghost,justin bieber
2021-10-23,33,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,28.0,26,15,cold beer calling my name,jameson rodgers featuring luke combs
2021-10-23,34,A-O-K,Tai Verdes,34.0,34,15,a-o-k,tai verdes
2021-10-23,35,Memory I Don't Mess With,Lee Brice,33.0,33,12,memory i don't mess with,lee brice
2021-10-23,36,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,23.0,22,7,sharing locations,meek mill featuring lil baby and lil durk
2021-10-23,37,I Was On A Boat That Day,Old Dominion,45.0,37,15,i was on a boat that day,old dominion
2021-10-23,38,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),37.0,1,32,leave the door open,silk sonic
2021-10-23,39,Fair Trade,Drake Featuring Travis Scott,30.0,3,6,fair trade,drake featuring travis scott
2021-10-23,40,Buy Dirt,Jordan Davis Featuring Luke Bryan,43.0,40,10,buy dirt,jordan davis featuring luke bryan
2021-10-23,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,39.0,1,30,peaches,justin bieber featuring daniel caesar and giveon
2021-10-23,42,Deja Vu,Olivia Rodrigo,31.0,3,28,deja vu,olivia rodrigo
2021-10-23,43,You Should Probably Leave,Chris Stapleton,51.0,43,15,you should probably leave,chris stapleton
2021-10-23,44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,47.0,44,5,meet me at our spot,the anxiety willow and tyler cole
2021-10-23,45,Cold As You,Luke Combs,53.0,45,11,cold as you,luke combs
2021-10-23,46,Gyalis,Capella Grey,38.0,38,11,gyalis,capella grey
2021-10-23,47,Love Again,Dua Lipa,41.0,41,13,love again,dua lipa
2021-10-23,48,Leave Before You Love Me,Marshmello X Jonas Brothers,40.0,19,21,leave before you love me,marshmello x jonas brothers
2021-10-23,49,Family Ties,Baby Keem & Kendrick Lamar,46.0,18,7,family ties,baby keem and kendrick lamar
2021-10-23,50,Hurricane,Kanye West,44.0,6,7,hurricane,kanye west
2021-10-23,51,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",0.0,51,1,lo siento bb,tainy bad bunny and julieta venegas
2021-10-23,52,Wild Side,Normani Featuring Cardi B,48.0,14,13,wild side,normani featuring cardi b
2021-10-23,53,Flocky Flocky,Don Toliver Featuring Travis Scott,0.0,53,1,flocky flocky,don toliver featuring travis scott
2021-10-23,54,Have Mercy,Chloe,50.0,28,5,have mercy,chloe
2021-10-23,55,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,57.0,55,9,thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter
2021-10-23,56,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56.0,56,11,baddest,yung bleu chris brown and 2 chainz
2021-10-23,57,Late At Night,Roddy Ricch,49.0,20,19,late at night,roddy ricch
2021-10-23,58,2055,Sleepy Hallow,63.0,51,13,2055,sleepy hallow
2021-10-23,59,Whole Lotta Money,BIA Featuring Nicki Minaj,52.0,16,14,whole lotta money,bia featuring nicki minaj
2021-10-23,60,Memory,Kane Brown X blackbear,68.0,50,14,memory,kane brown x blackbear
2021-10-23,61,Esta Danada,Ivan Cornejo,96.0,61,2,esta danada,ivan cornejo
2021-10-23,62,Knowing You,Kenny Chesney,67.0,62,9,knowing you,kenny chesney
2021-10-23,63,Woman,Doja Cat,62.0,62,11,woman,doja cat
2021-10-23,64,Same Boat,Zac Brown Band,77.0,64,4,same boat,zac brown band
2021-10-23,65,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,80.0,65,3,chosen,blxst and tyga featuring ty dolla ign
2021-10-23,66,Too Easy,Gunna & Future,59.0,38,3,too easy,gunna and future
2021-10-23,67,Volvi,Aventura x Bad Bunny,73.0,22,11,volvi,aventura x bad bunny
2021-10-23,68,Easy On Me,Adele,0.0,68,1,easy on me,adele
2021-10-23,69,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,75.0,69,2,jugaste y sufri,eslabon armado featuring dannylux
2021-10-23,70,Todo de Ti,Rauw Alejandro,74.0,32,20,todo de ti,rauw alejandro
